0	50	48	92	47	92	92	175	138	148	143	116	99	180	147	140	143	108	95	103	103	124	112	112	100	79	77	68	44	41
50	0	26	53	26	82	71	154	119	129	125	92	64	146	109	102	105	70	61	73	75	95	89	85	80	59	46	34	38	49
48	26	0	44	45	71	67	139	106	116	118	91	72	140	118	111	114	78	75	94	97	118	102	102	96	76	89	70	76	84
92	53	44	0	46	49	35	122	84	95	102	63	80	153	134	125	130	97	83	148	154	193	186	180	199	161	117	111	153	164
47	26	45	46	0	82	69	148	119	129	109	75	46	128	91	85	88	52	44	65	66	87	78	79	76	56	39	30	41	46
92	82	71	49	82	0	22	100	67	77	86	60	87	125	130	127	123	87	89	108	111	132	127	125	135	115	92	89	111	117
92	71	67	35	69	22	0	90	54	64	72	46	73	111	116	113	109	73	76	94	97	118	111	111	121	101	78	75	97	109
175	154	139	122	148	100	90	0	51	46	103	84	125	106	126	123	119	122	131	150	158	172	169	170	191	179	150	159	177	189
138	119	106	84	119	67	54	51	0	18	44	53	85	85	96	93	89	76	108	108	116	129	126	127	148	139	109	118	138	150
148	129	116	95	129	77	64	46	18	0	33	66	99	68	88	85	81	90	105	118	127	132	128	130	155	152	123	132	152	164
143	125	118	102	109	86	72	103	44	33	0	42	74	51	71	68	64	66	98	97	105	115	111	113	137	128	99	108	128	139
116	92	91	63	75	60	46	84	53	66	42	0	59	90	97	78	74	45	55	74	82	95	91	94	115	103	74	83	103	114
99	64	72	80	46	87	73	125	85	99	74	59	0	124	70	61	65	22	25	48	60	81	73	79	108	80	46	63	93	82
180	146	140	153	128	125	111	106	85	68	51	90	124	0	62	58	54	86	101	92	101	105	100	104	153	149	120	129	149	155
147	109	118	134	91	130	116	126	96	88	71	97	70	62	0	27	23	57	58	56	66	70	67	69	113	111	77	88	108	119
140	102	111	125	85	127	113	123	93	85	68	78	61	58	27	0	19	52	53	57	66	70	67	69	107	106	71	82	102	108
143	105	114	130	88	123	109	119	89	81	64	74	65	54	23	19	0	47	48	46	55	59	56	58	102	100	66	77	97	103
108	70	78	97	52	87	73	122	76	90	66	45	22	86	57	52	47	0	22	39	31	34	55	57	78	72	40	52	72	78
95	61	75	83	44	89	76	131	108	105	98	55	25	101	58	53	48	22	0	31	40	56	52	54	72	61	30	41	61	67
103	73	94	148	65	108	94	150	108	118	97	74	48	92	56	57	46	39	31	0	31	51	47	45	67	65	37	51	68	74
103	75	97	154	66	111	97	158	116	127	105	82	60	101	66	66	55	31	40	31	0	44	35	35	64	61	36	49	66	72
124	95	118	193	87	132	118	172	129	132	115	95	81	105	70	70	59	34	56	51	44	0	44	45	78	82	57	70	87	93
112	89	102	186	78	127	111	169	126	128	111	91	73	100	67	67	56	55	52	47	35	44	0	2	56	73	52	62	79	85
112	85	102	180	79	125	111	170	127	130	113	94	79	104	69	69	58	57	54	45	35	45	2	0	53	71	50	59	76	82
100	80	96	199	76	135	121	191	148	155	137	115	108	153	113	107	102	78	72	67	64	78	56	53	0	40	58	59	68	74
79	59	76	161	56	115	101	179	139	152	128	103	80	149	111	106	100	72	61	65	61	82	73	71	40	0	39	30	39	45
77	46	89	117	39	92	78	150	109	123	99	74	46	120	77	71	66	40	30	37	36	57	52	50	58	39	0	25	42	48
68	34	70	111	30	89	75	159	118	132	108	83	63	129	88	82	77	52	41	51	49	70	62	59	59	30	25	0	32	38
44	38	76	153	41	111	97	177	138	152	128	103	93	149	108	102	97	72	61	68	66	87	79	76	68	39	42	32	0	17
41	49	84	164	46	117	109	189	150	164	139	114	82	155	119	108	103	78	67	74	72	93	85	82	74	45	48	38	17	0
